tenant_as,total_holds,unique_prefixes,avg_hold_sec,median_hold_sec,min_hold_sec,max_hold_sec,in_pingpong_chain,typical_hold
21054,22,2,289.86,11.0,0.0,3090.0,True,<1min
267972,22,1,1.45,1.0,0.0,9.0,True,<1min
262453,21,5,23184.19,5.0,0.0,98859.0,True,<1min
137422,21,1,4970.05,0.0,0.0,72898.0,True,
37294,20,1,71.55,5.5,0.0,751.0,True,<1min
213134,20,1,78.2,4.0,0.0,1165.0,True,<1min
9823,20,1,59.05,1.0,0.0,1047.0,True,<1min
9051,20,2,3977.2,2.0,0.0,39744.0,True,<1min
17841,20,7,5043.0,37.5,0.0,65980.0,True,<1min
56565,20,2,0.95,1.0,0.0,4.0,True,<1min
269372,19,1,8731.16,6.0,0.0,99299.0,True,<1min
35753,19,1,384.32,5.0,0.0,6118.0,True,<1min
52626,19,1,4162.74,210.0,0.0,35520.0,True,1-5min
134540,19,1,2.68,1.0,0.0,15.0,True,<1min
48851,19,5,7881.68,1.0,0.0,74828.0,True,<1min
19871,18,9,611.83,606.5,284.0,941.0,True,5-30min
27046,18,1,237.5,7.5,0.0,4038.0,True,<1min
24203,18,3,7453.72,1.0,0.0,89944.0,True,<1min
38482,18,2,8.17,3.0,0.0,68.0,True,<1min
211373,18,2,12.67,0.0,0.0,89.0,True,
196628,18,2,5295.28,29.0,2.0,26424.0,True,<1min
6461,18,2,40.17,3.0,0.0,374.0,True,<1min
27738,17,1,1182.18,14.0,0.0,9472.0,True,<1min
399,17,5,0.0,0.0,0.0,0.0,True,
427,17,5,3.35,1.0,0.0,17.0,True,<1min
328904,17,1,10.65,2.0,0.0,98.0,True,<1min
271482,17,1,2.47,1.0,0.0,13.0,True,<1min
62631,17,1,6824.12,20.0,0.0,71758.0,True,<1min
25820,17,9,0.59,1.0,0.0,2.0,True,<1min
9498,17,3,4.94,1.0,0.0,31.0,True,<1min
138640,17,3,6407.06,29.0,0.0,93058.0,True,<1min
13760,17,1,67.59,23.0,0.0,682.0,True,<1min
53184,17,17,30776.0,30776.0,30776.0,30776.0,False,2-24hr
134542,16,8,58940.31,58945.0,10255.0,107560.0,True,2-24hr
26456,16,2,1.25,0.5,0.0,5.0,True,<1min
25888,16,1,11.31,9.0,0.0,31.0,True,<1min
136826,16,10,710.5,702.5,1.0,1421.0,True,5-30min
43256,16,1,6341.25,16.5,0.0,52706.0,True,<1min
132593,16,1,2521.12,1.5,0.0,40097.0,True,<1min
53248,16,1,35.31,1.5,0.0,263.0,True,<1min
131617,15,1,23.33,2.0,0.0,278.0,True,<1min
54198,15,2,2233.87,14.0,0.0,11697.0,True,<1min
272827,15,1,0.2,0.0,0.0,1.0,True,
2722,15,1,4.47,2.0,0.0,27.0,True,<1min
51026,15,1,441.27,4.0,0.0,6396.0,True,<1min
6,15,3,17764.87,6.0,1.0,133198.0,True,<1min
409,15,3,5.0,1.0,0.0,14.0,True,<1min
36901,14,2,20.07,5.5,0.0,203.0,True,<1min
23470,14,1,366.86,3.5,0.0,3620.0,True,<1min
153177,14,7,293.5,293.5,1.0,586.0,True,1-5min
8075,14,1,272.86,6.0,0.0,3704.0,True,<1min
29632,14,5,1058.14,0.5,0.0,14605.0,True,<1min
216149,14,1,7928.21,0.5,0.0,57081.0,True,<1min
215228,14,1,5.07,1.5,0.0,40.0,True,<1min
50928,14,1,15.93,5.5,1.0,153.0,True,<1min
33287,14,11,13997.64,4135.0,4103.0,50357.0,True,30min-2hr
40281,13,3,24505.38,3985.0,0.0,124461.0,True,30min-2hr
61568,13,1,68.62,10.0,0.0,460.0,True,<1min
267501,13,1,6710.46,11.0,0.0,86305.0,True,<1min
57208,13,1,1628.08,24.0,0.0,9259.0,True,<1min
401696,13,1,1676.08,11.0,0.0,21633.0,True,<1min
132559,12,3,0.5,0.5,0.0,1.0,True,<1min
139057,12,1,5.92,5.5,0.0,20.0,True,<1min
11892,12,1,92.42,1.0,0.0,744.0,True,<1min
28006,12,1,1.67,1.0,0.0,7.0,True,<1min
44547,12,1,31.75,1.5,0.0,329.0,True,<1min
7474,12,6,37394.17,19005.0,381.0,67101.0,True,2-24hr
28656,12,2,82.83,11.0,0.0,316.0,True,<1min
2269,12,1,16.0,0.5,0.0,148.0,True,<1min
16761,12,1,183.92,4.5,0.0,2097.0,True,<1min
152931,11,1,19.45,1.0,0.0,154.0,True,<1min
43260,11,1,237.45,4.0,1.0,2295.0,True,<1min
52614,11,7,62910.0,98852.0,6.0,98860.0,True,>24hr
57192,11,1,2.64,0.0,0.0,19.0,True,
1540,11,1,1806.73,2.0,0.0,15335.0,True,<1min
152194,11,3,4.36,4.0,0.0,18.0,True,<1min
269016,11,1,657.55,3.0,0.0,7196.0,True,<1min
135168,11,1,133.82,3.0,0.0,1444.0,True,<1min
262186,11,4,932.27,9.0,2.0,5806.0,True,<1min
266270,11,1,14032.73,9.0,0.0,136738.0,True,<1min
133731,11,1,11.36,2.0,0.0,96.0,True,<1min
137995,11,1,2.82,0.0,0.0,28.0,True,
45723,10,2,25930.0,3.0,0.0,129576.0,True,<1min
174,10,3,1311.7,16.5,0.0,7782.0,True,<1min
46402,10,2,6095.2,51.5,0.0,51131.0,True,<1min
30218,10,1,3.6,2.0,0.0,19.0,True,<1min
27139,10,1,2.4,1.0,0.0,16.0,True,<1min
273624,10,1,65.1,0.5,0.0,617.0,True,<1min
216014,10,1,2.7,1.0,0.0,9.0,True,<1min
401152,10,3,14576.4,803.0,1.0,123968.0,True,5-30min
3255,10,1,2.1,1.0,0.0,7.0,True,<1min
214293,10,1,5.0,1.0,0.0,25.0,True,<1min
328636,10,1,4430.5,8.0,0.0,43779.0,True,<1min
147003,10,1,13.4,1.0,0.0,81.0,True,<1min
264886,10,1,5.3,0.5,0.0,49.0,True,<1min
133448,10,6,140.6,162.0,78.0,223.0,True,1-5min
269741,10,2,11.8,4.0,0.0,29.0,True,<1min
18678,10,2,35.9,3.0,0.0,202.0,True,<1min
140224,10,2,3159.9,1.0,0.0,31558.0,True,<1min
272988,9,1,8.44,1.0,0.0,57.0,True,<1min
11911,9,3,12228.0,2148.0,92.0,34444.0,True,30min-2hr
7,9,3,6.44,1.0,0.0,29.0,True,<1min
50165,9,1,318.78,2.0,0.0,2819.0,True,<1min
19725,9,3,188.0,7.0,0.0,557.0,True,<1min
328641,9,2,29586.0,0.0,0.0,129577.0,True,
395506,9,1,1.33,0.0,0.0,7.0,True,
2764,9,1,5.33,2.0,0.0,28.0,True,<1min
23487,9,1,7961.44,712.0,0.0,34718.0,True,5-30min
55685,9,1,4.89,4.0,0.0,10.0,True,<1min
24154,9,1,5.67,2.0,0.0,31.0,True,<1min
18734,9,1,7.22,8.0,0.0,16.0,True,<1min
58065,9,2,41.56,5.0,0.0,196.0,True,<1min
263766,9,1,34.78,2.0,0.0,283.0,True,<1min
3549,9,1,17.89,2.0,0.0,109.0,True,<1min
4788,9,1,209.78,7.0,1.0,1721.0,True,<1min
4361,9,1,5.0,2.0,0.0,20.0,True,<1min
9541,9,1,28.0,3.0,0.0,233.0,True,<1min
401783,8,8,13.62,12.5,9.0,19.0,False,<1min
48009,8,2,10906.62,115.5,34.0,61592.0,True,1-5min
152491,8,4,1.62,1.5,0.0,4.0,True,<1min
1921,8,4,3074.5,3074.5,279.0,5870.0,True,30min-2hr
25000,8,1,6906.5,1.0,0.0,55246.0,True,<1min
273174,8,1,24.0,1.0,0.0,99.0,True,<1min
2914,8,2,21.62,23.0,6.0,34.0,True,<1min
216047,8,2,3403.75,668.0,8.0,12256.0,True,5-30min
207537,8,1,2234.5,108.0,0.0,10538.0,True,1-5min
9583,8,2,23787.0,23.0,1.0,101342.0,True,<1min
37963,8,8,473.38,627.0,0.0,627.0,False,5-30min
8492,8,1,104.38,3.5,0.0,781.0,True,<1min
203680,7,1,225.14,3.0,0.0,1546.0,True,<1min
212698,7,1,333.14,14.0,0.0,2022.0,True,<1min
216211,7,1,5.71,0.0,0.0,33.0,True,
141005,7,4,37809.43,59767.0,6393.0,66186.0,True,2-24hr
65001,7,4,45262.29,13674.0,2.0,91940.0,True,2-24hr
49503,7,1,2.14,0.0,0.0,13.0,True,
60725,7,1,9.57,8.0,1.0,29.0,True,<1min
396599,7,7,12636.14,7897.0,7897.0,18955.0,False,2-24hr
272588,7,1,18853.43,2.0,0.0,131939.0,True,<1min
55095,7,7,36552.29,25597.0,189.0,75930.0,False,2-24hr
53115,7,1,5638.57,2.0,0.0,38153.0,True,<1min
59404,7,1,14500.14,443.0,63.0,77160.0,True,5-30min
2,7,4,35997.14,1.0,0.0,125987.0,True,<1min
36007,7,2,4001.57,20.0,0.0,13974.0,True,<1min
32787,7,7,0.0,0.0,0.0,0.0,False,
35382,6,1,4.83,2.0,0.0,14.0,True,<1min
327707,6,1,8.67,2.5,1.0,37.0,True,<1min
140716,6,6,56547.0,56547.0,56547.0,56547.0,False,2-24hr
3267,6,4,54298.67,41057.0,181.0,119835.0,True,2-24hr
209242,6,3,34052.83,33537.5,1573.0,67146.0,True,2-24hr
138005,6,2,0.33,0.0,0.0,1.0,True,
27137,6,2,116.0,2.0,0.0,346.0,True,<1min
45706,6,1,5662.33,20.0,0.0,17164.0,True,<1min
213430,6,3,775.0,775.0,8.0,1542.0,True,5-30min
32135,6,2,969.33,144.0,3.0,2761.0,True,1-5min
63647,6,6,54819.0,54819.0,54819.0,54819.0,False,2-24hr
36947,6,1,955.67,78.0,0.0,2996.0,True,1-5min
20431,6,6,89.5,90.0,87.0,90.0,True,1-5min
137160,6,1,1900.67,14.5,0.0,11355.0,True,<1min
153531,6,6,0.0,0.0,0.0,0.0,False,
133119,6,3,58927.0,58927.0,10274.0,107580.0,True,2-24hr
61851,6,1,2396.5,20.5,0.0,14315.0,True,<1min
41378,6,4,22987.67,34468.0,13.0,34482.0,True,2-24hr
151690,5,1,10574.6,1242.0,0.0,44807.0,True,5-30min
207328,5,1,3.6,3.0,1.0,9.0,True,<1min
151106,5,1,11265.0,3774.0,0.0,45792.0,True,30min-2hr
54454,5,3,27263.4,749.0,749.0,68259.0,True,5-30min
14979,5,5,6188.0,6188.0,6188.0,6188.0,False,30min-2hr
203993,5,2,4374.2,1.0,0.0,10935.0,True,<1min
141672,5,1,19256.2,6649.0,284.0,49510.0,True,30min-2hr
61138,5,1,73.6,66.0,8.0,190.0,True,1-5min
154579,5,1,6.0,0.0,0.0,28.0,True,
50138,5,1,8.2,4.0,0.0,28.0,True,<1min
29016,5,1,607.4,3.0,0.0,1970.0,True,<1min
205203,5,1,5356.4,2326.0,49.0,19583.0,True,30min-2hr
396611,5,5,65208.2,66836.0,58697.0,66836.0,True,2-24hr
132165,5,1,94.8,91.0,0.0,201.0,True,1-5min
273398,5,1,0.0,0.0,0.0,0.0,True,
4812,5,4,9875.8,16449.0,2.0,16449.0,True,2-24hr
137085,5,1,0.2,0.0,0.0,1.0,True,
44495,5,1,1943.0,3.0,0.0,9699.0,True,<1min
11749,5,2,53.2,4.0,0.0,234.0,True,<1min
137897,5,1,835.0,234.0,1.0,2526.0,True,1-5min
328608,5,1,4.6,3.0,0.0,16.0,True,<1min
2707,5,5,39820.0,39820.0,39820.0,39820.0,False,2-24hr
211438,5,1,1247.4,1198.0,777.0,1659.0,True,5-30min
17622,4,4,56569.0,56569.0,56569.0,56569.0,False,2-24hr
58006,4,4,145160.25,146561.0,140958.0,146561.0,False,>24hr
393303,4,1,29.0,8.5,2.0,97.0,True,<1min
3491,4,1,7.0,1.0,0.0,26.0,True,<1min
22773,4,1,19562.0,18680.5,591.0,40296.0,True,2-24hr
55720,4,1,53.0,25.0,0.0,162.0,True,<1min
132834,4,1,1.25,0.5,0.0,4.0,True,<1min
25233,4,1,7618.5,4.0,0.0,30466.0,True,<1min
29684,4,1,5260.5,961.0,90.0,19030.0,True,5-30min
396455,4,1,12181.5,7126.0,30.0,34444.0,True,30min-2hr
272190,4,1,25952.75,16561.5,1.0,70687.0,True,2-24hr
27064,4,3,0.0,0.0,0.0,0.0,True,
139543,4,1,6.25,1.0,0.0,23.0,True,<1min
912,4,2,8816.75,8813.0,221.0,17420.0,True,2-24hr
146966,4,3,4.5,3.5,0.0,11.0,True,<1min
979,4,4,10361.0,10361.0,10361.0,10361.0,False,2-24hr
64249,4,1,26.5,16.0,4.0,70.0,True,<1min
138997,4,4,320.25,321.0,317.0,322.0,False,5-30min
27947,4,2,19251.75,19219.0,0.0,38569.0,True,2-24hr
22911,4,4,6601.5,8738.0,191.0,8739.0,False,2-24hr
199886,4,2,4.5,4.5,1.0,8.0,True,<1min
328919,4,1,4683.25,3107.0,1648.0,10871.0,True,30min-2hr
37154,4,1,9227.0,8784.5,4565.0,14774.0,True,2-24hr
46713,4,1,2422.0,9.0,5.0,9665.0,True,<1min
211667,4,1,833.25,604.0,114.0,2011.0,True,5-30min
812,4,2,3340.5,3340.5,758.0,5923.0,True,30min-2hr
14187,4,1,15.0,12.0,8.0,28.0,True,<1min
212384,4,2,61908.0,61937.5,15735.0,108022.0,True,2-24hr
72,4,1,15865.75,1270.0,100.0,60823.0,True,5-30min
37124,4,3,8175.5,10900.5,0.0,10901.0,True,2-24hr
209352,4,4,8473.0,8473.0,8473.0,8473.0,False,2-24hr
397782,4,1,12050.75,12.0,3.0,48176.0,True,<1min
397215,4,3,0.25,0.0,0.0,1.0,True,
11308,4,1,13642.75,2.5,2.0,54564.0,True,<1min
4,4,1,14.0,12.5,0.0,31.0,True,<1min
33139,4,4,745.0,745.0,745.0,745.0,False,5-30min
51684,4,1,3.0,3.0,0.0,6.0,True,<1min
207304,4,1,4962.5,4.0,0.0,19842.0,True,<1min
262579,4,1,2911.5,7.0,1.0,11631.0,True,<1min
269931,4,1,27.5,0.5,0.0,109.0,True,<1min
7291,4,4,31.0,31.5,22.0,39.0,False,<1min
202982,4,1,2664.25,2642.5,90.0,5282.0,True,30min-2hr
396654,4,2,4601.5,4601.5,0.0,9203.0,True,30min-2hr
3923,4,1,283.25,12.5,0.0,1108.0,True,<1min
266841,4,2,37672.25,31379.5,0.0,87930.0,True,2-24hr
211974,4,2,20.5,20.5,0.0,41.0,True,<1min
16406,4,1,6928.25,8.0,1.0,27696.0,True,<1min
206190,4,1,7550.25,0.0,0.0,30201.0,True,
7809,3,1,11.67,1.0,1.0,33.0,True,<1min
134543,3,3,56545.0,56545.0,56545.0,56545.0,False,2-24hr
22427,3,3,131636.0,131636.0,131636.0,131636.0,False,>24hr
20337,3,1,2634.0,13.0,5.0,7884.0,True,<1min
328543,3,1,151.0,30.0,1.0,422.0,True,<1min
6034,3,1,0.67,1.0,0.0,1.0,True,<1min
215727,3,3,37551.0,37551.0,37551.0,37551.0,False,2-24hr
20161,3,1,7577.0,1503.0,226.0,21002.0,True,5-30min
267221,3,1,51.0,71.0,0.0,82.0,True,1-5min
3214,3,3,0.0,0.0,0.0,0.0,False,
212280,3,1,6.33,0.0,0.0,19.0,True,
4314,3,1,11399.67,46.0,5.0,34148.0,True,<1min
271897,3,1,4970.67,3463.0,202.0,11247.0,True,30min-2hr
202280,3,2,73520.67,103995.0,249.0,116318.0,True,>24hr
271967,3,1,41184.67,41359.0,5098.0,77097.0,True,2-24hr
17638,3,3,16418.0,16418.0,16418.0,16418.0,False,2-24hr
37661,3,1,2002.67,26.0,0.0,5982.0,True,<1min
15723,3,1,1.33,1.0,0.0,3.0,True,<1min
14615,3,1,12.33,7.0,2.0,28.0,True,<1min
272524,3,1,13259.0,118.0,28.0,39631.0,True,1-5min
142212,3,1,12.0,3.0,0.0,33.0,True,<1min
211908,3,1,10065.67,0.0,0.0,30197.0,True,
4455,3,1,7.0,5.0,5.0,11.0,True,<1min
208720,3,3,29729.0,1221.0,1214.0,86752.0,False,5-30min
209372,3,1,25409.67,20914.0,11411.0,43904.0,True,2-24hr
140595,3,3,222.0,222.0,222.0,222.0,False,1-5min
19114,3,1,29644.0,12910.0,10387.0,65635.0,True,2-24hr
270172,3,1,1.33,0.0,0.0,4.0,True,
14379,3,2,8303.33,11763.0,1383.0,11764.0,True,2-24hr
2711,3,1,25640.0,26.0,7.0,76887.0,True,<1min
999,3,3,29986.67,483.0,17.0,89460.0,False,5-30min
6223,3,1,7315.67,1.0,1.0,21945.0,True,<1min
35937,3,1,15046.67,504.0,0.0,44636.0,True,5-30min
53356,3,2,45.0,58.0,0.0,77.0,True,<1min
397011,3,2,9272.33,32.0,32.0,27753.0,True,<1min
34984,3,2,120.0,1.0,1.0,358.0,True,<1min
32519,3,3,54912.0,82256.0,8.0,82472.0,False,2-24hr
400175,3,1,2.67,2.0,0.0,6.0,True,<1min
27281,3,3,21087.0,21087.0,21087.0,21087.0,False,2-24hr
28405,3,1,19040.67,2.0,0.0,57120.0,True,<1min
64286,3,1,9133.33,390.0,9.0,27001.0,True,5-30min
396986,3,2,11303.33,1928.0,183.0,31799.0,True,30min-2hr
59371,3,3,0.0,0.0,0.0,0.0,False,
400384,3,3,37.0,37.0,37.0,37.0,False,<1min
53316,3,1,29629.33,1355.0,373.0,87160.0,True,5-30min
58519,3,3,16440.33,16447.0,16427.0,16447.0,False,2-24hr
27066,3,1,3.0,1.0,0.0,8.0,True,<1min
58262,3,1,31006.0,9314.0,244.0,83460.0,True,2-24hr
40841,3,1,6.33,0.0,0.0,19.0,True,
396661,3,2,18104.0,27148.0,5.0,27159.0,True,2-24hr
57863,3,1,26481.67,27.0,27.0,79391.0,True,<1min
852,3,3,141524.0,141524.0,141524.0,141524.0,False,>24hr
37303,3,1,20281.67,21728.0,27.0,39090.0,True,2-24hr
133296,3,1,32520.0,1.0,0.0,97559.0,True,<1min
38759,3,3,5747.0,5747.0,5747.0,5747.0,False,30min-2hr
17195,2,1,10557.0,10557.0,0.0,21114.0,True,2-24hr
51031,2,1,25.5,25.5,7.0,44.0,True,<1min
51412,2,1,26829.5,26829.5,268.0,53391.0,True,2-24hr
396621,2,2,154.0,154.0,154.0,154.0,True,1-5min
15020,2,1,615.0,615.0,0.0,1230.0,True,5-30min
49813,2,1,1094.5,1094.5,0.0,2189.0,True,5-30min
205132,2,1,12.5,12.5,0.0,25.0,True,<1min
205198,2,1,4.5,4.5,0.0,9.0,True,<1min
54600,2,1,668.0,668.0,286.0,1050.0,True,5-30min
396675,2,2,4.0,4.0,4.0,4.0,True,<1min
396751,2,2,11888.0,11888.0,5670.0,18106.0,True,2-24hr
53336,2,1,23746.5,23746.5,32.0,47461.0,True,2-24hr
54055,2,1,3.5,3.5,3.0,4.0,True,<1min
33724,2,1,14479.0,14479.0,120.0,28838.0,True,2-24hr
393249,2,1,5484.0,5484.0,2410.0,8558.0,True,30min-2hr
49608,2,1,15936.0,15936.0,3349.0,28523.0,True,2-24hr
215767,2,1,349.5,349.5,0.0,699.0,True,5-30min
265689,2,2,1.0,1.0,1.0,1.0,False,<1min
266059,2,1,0.0,0.0,0.0,0.0,True,
262916,2,2,3222.5,3222.5,26.0,6419.0,False,30min-2hr
4835,2,2,16427.0,16427.0,16427.0,16427.0,False,2-24hr
39290,2,1,2616.5,2616.5,397.0,4836.0,True,30min-2hr
39592,2,1,13.5,13.5,13.0,14.0,True,<1min
40146,2,1,8776.5,8776.5,2313.0,15240.0,True,2-24hr
9802,2,1,58969.0,58969.0,10360.0,107578.0,True,2-24hr
9918,2,1,44921.5,44921.5,5.0,89838.0,True,2-24hr
10122,2,1,2.0,2.0,0.0,4.0,True,<1min
10482,2,1,8537.5,8537.5,2346.0,14729.0,True,2-24hr
10846,2,1,40.0,40.0,30.0,50.0,True,<1min
209988,2,2,55641.5,55641.5,136.0,111147.0,False,2-24hr
214432,2,1,10394.5,10394.5,235.0,20554.0,True,2-24hr
213763,2,1,38686.5,38686.5,2016.0,75357.0,True,2-24hr
36698,2,2,6000.0,6000.0,6000.0,6000.0,False,30min-2hr
13238,2,1,0.0,0.0,0.0,0.0,True,
4470,2,2,3622.0,3622.0,3622.0,3622.0,False,30min-2hr
268018,2,1,42966.0,42966.0,17537.0,68395.0,True,2-24hr
47027,2,1,3342.5,3342.5,762.0,5923.0,True,30min-2hr
13348,2,2,89620.5,89620.5,89569.0,89672.0,False,>24hr
200077,2,1,7559.0,7559.0,215.0,14903.0,True,2-24hr
399159,2,2,18955.0,18955.0,18955.0,18955.0,False,2-24hr
268313,2,1,231.0,231.0,230.0,232.0,True,1-5min
328785,2,2,3535.0,3535.0,3535.0,3535.0,False,30min-2hr
30613,2,1,46274.0,46274.0,2.0,92546.0,True,2-24hr
37662,2,1,14.5,14.5,4.0,25.0,True,<1min
140979,2,1,25610.0,25610.0,52.0,51168.0,True,2-24hr
62212,2,1,10877.5,10877.5,1.0,21754.0,True,2-24hr
27742,2,1,12.0,12.0,1.0,23.0,True,<1min
19257,2,2,109659.0,109659.0,109659.0,109659.0,False,>24hr
